month,ticker
2020-02,ECL
2020-02,ED
2020-02,EFX
2020-02,EIX
2020-02,EL
2020-02,EMN
2020-02,EMR
2020-02,EOG
2020-02,EQIX
2020-02,EQR
2020-02,ES
2020-02,ESS
2020-02,ETN
2020-02,EW
2020-02,EXPD
2020-02,EXPE
2020-02,EXR
2020-02,F
2020-02,FANG
2020-02,FAST
2020-02,FCX
2020-02,FE
2020-02,FFIV
2020-02,FLIR
2020-02,FLS
2020-02,FLT
2020-02,FMC
2020-02,FOX
2020-02,FRT
2020-02,FTI
2020-02,FTNT
2020-02,FTV
2020-02,GD
2020-02,GE
2020-02,GILD
2020-02,GLW
2020-02,GM
2020-02,GOOG
2020-02,GPC
2020-02,GPS
2020-02,GRMN
2020-02,GWW
2020-02,HAL
2020-02,HAS
2020-02,HBI
2020-02,HCA
2020-02,HD
2020-02,HES
2020-02,HFC
2020-02,HLT
2020-02,HOG
2020-02,HOLX
2020-02,HP
2020-02,HPE
2020-02,HPQ
2020-02,HRB
2020-02,HRL
2020-02,HSIC
2020-02,HST
2020-02,ICE
2020-02,IDXX
2020-02,IEX
2020-02,IFF
2020-02,INCY
2020-02,INFO
2020-02,INTC
2020-02,IP
2020-02,IPG
2020-02,IPGP
2020-02,IQV
2020-02,IR
2020-02,IRM
2020-02,ISRG
2020-02,IT
2020-02,ITW
2020-02,IVZ
2020-02,J
2020-02,JBHT
2020-02,JCI
2020-02,JKHY
2020-02,JNPR
2020-02,JWN
2020-02,K
2020-02,KIM
2020-02,KLAC
2020-02,KMI
2020-02,KMX
2020-02,KO
2020-02,KR
2020-02,KSS
2020-02,KSU
2020-02,LEG
2020-02,LEN
2020-02,LHX
2020-02,LIN
2020-02,LKQ
2020-02,LLY
2020-02,LMT
2020-02,LOW
2020-02,LRCX
2020-02,LUV
2020-02,LVS
2020-02,LW
2020-02,LYB
2020-02,M
2020-02,MA
2020-02,MAA
2020-02,MAR
2020-02,MCD
2020-02,MCHP
2020-02,MCK
2020-02,MCO
2020-02,MDLZ
2020-02,MDT
2020-02,MGM
2020-02,MHK
2020-02,MKC
2020-02,MLM
2020-02,MMM
2020-02,MNST
2020-02,MPC
2020-02,MRK
2020-02,MRO
2020-02,MSCI
2020-02,MSFT
2020-02,MSI
2020-02,MTD
2020-02,MU
2020-02,MXIM
2020-02,MYL
2020-02,NCLH
2020-02,NDAQ
2020-02,NEE
2020-02,NEM
2020-02,NFLX
2020-02,NKE
2020-02,NLSN
2020-02,NOC
2020-02,NOW
2020-02,NRG
2020-02,NSC
2020-02,NTAP
2020-02,NUE
2020-02,NVDA
2020-02,NVR
2020-02,NWL
2020-02,O
2020-02,OKE
2020-02,OMC
2020-02,ORLY
2020-02,OXY
2020-02,PAYC
2020-02,PEAK
2020-02,PEP
2020-02,PFE
2020-02,PG
2020-02,PH
2020-02,PHM
2020-02,PKG
2020-02,PKI
2020-02,PLD
2020-02,PM
2020-02,PNR
2020-02,PNW
2020-02,PPG
2020-02,PRGO
2020-02,PSX
2020-02,PVH
2020-02,PWR
2020-02,PXD
2020-02,PYPL
2020-02,QCOM
2020-02,QRVO
2020-02,REG
2020-02,REGN
2020-02,RHI
2020-02,RL
2020-02,ROK
2020-02,ROL
2020-02,ROP
2020-02,ROST
2020-02,RSG
2020-02,SBAC
2020-02,SBUX
2020-02,SEE
2020-02,SHW
2020-02,SLB
2020-02,SNPS
2020-02,SPG
2020-02,SPGI
2020-02,SRE
2020-02,STE
2020-02,STX
2020-02,SWK
2020-02,SWKS
2020-02,SYK
2020-02,SYY
2020-02,TAP
2020-02,TDG
2020-02,TEL
2020-02,TFX
2020-02,TGT
2020-02,TIF
2020-02,TJX
2020-02,TMO
2020-02,TMUS
2020-02,TROW
2020-02,TSCO
2020-02,TSN
2020-02,TTWO
2020-02,TWTR
2020-02,TXN
2020-02,TXT
2020-02,UA
2020-02,UAL
2020-02,UHS
2020-02,ULTA
2020-02,UNH
2020-02,UNP
2020-02,UPS
2020-02,URI
2020-02,V
2020-02,VAR
2020-02,VFC
2020-02,VLO
2020-02,VMC
2020-02,VNO
2020-02,VRSK
2020-02,VRSN
2020-02,VRTX
2020-02,VTR
2020-02,VZ
2020-02,WAB
2020-02,WAT
2020-02,WBA
2020-02,WDC
2020-02,WEC
2020-02,WELL
2020-02,WHR
2020-02,WM
2020-02,WMB
2020-02,WMT
2020-02,WRK
2020-02,WU
2020-02,WY
2020-02,WYNN
2020-02,XEC
2020-02,XEL
2020-02,XLNX
2020-02,XOM
2020-02,XRAY
2020-02,XRX
2020-02,XYL
2020-02,YUM
2020-02,ZBH
2020-02,ZBRA
2020-02,ZTS
2020-03,A
2020-03,AAL
2020-03,AAPL
2020-03,ABBV
2020-03,ABMD
2020-03,ABT
2020-03,ACN
2020-03,ADBE
2020-03,ADI
2020-03,ADM
2020-03,ADP
2020-03,ADSK
2020-03,AEE
2020-03,AEP
2020-03,AIV
2020-03,AJG
2020-03,AKAM
2020-03,ALB
2020-03,ALGN
2020-03,ALXN
2020-03,AMAT
2020-03,AMCR
2020-03,AMD
2020-03,AME
2020-03,AMGN
2020-03,AMP
2020-03,AMZN
2020-03,ANET
2020-03,ANSS
2020-03,AON
2020-03,AOS
2020-03,APA
2020-03,APH
2020-03,APTV
2020-03,ARE
2020-03,ARNC
2020-03,ATO
2020-03,ATVI
2020-03,AVB
2020-03,AVGO
2020-03,AVY
2020-03,AWK
2020-03,AZO
2020-03,BA
2020-03,BAX
2020-03,BBY
2020-03,BDX
2020-03,BEN
2020-03,BKNG
2020-03,BKR
2020-03,BLK
2020-03,BMY
2020-03,BR
2020-03,BRK.B
2020-03,BSX
2020-03,BWA
2020-03,BXP
2020-03,CAG
2020-03,CAH
2020-03,CAT
2020-03,CBOE
2020-03,CBRE
2020-03,CCL
2020-03,CDNS
2020-03,CDW
2020-03,CE
2020-03,CERN
2020-03,CF
2020-03,CHD
2020-03,CHRW
2020-03,CHTR
2020-03,CL
2020-03,CMCSA
2020-03,CME
2020-03,CMG
2020-03,CMI
2020-03,CNC
2020-03,COO
2020-03,COP
2020-03,COST
2020-03,COTY
2020-03,CPRT
2020-03,CRM
2020-03,CSCO
2020-03,CSX
2020-03,CTAS
2020-03,CTSH
2020-03,CTVA
2020-03,CTXS
2020-03,CVS
2020-03,CVX
2020-03,CXO
2020-03,D
2020-03,DAL
2020-03,DD
2020-03,DE
2020-03,DG
2020-03,DGX
2020-03,DHI
2020-03,DHR
2020-03,DIS
2020-03,DISH
2020-03,DLR
2020-03,DLTR
2020-03,DOV
2020-03,DOW
2020-03,DRE
2020-03,DTE
2020-03,DUK
2020-03,DVA
2020-03,DVN
2020-03,DXC
2020-03,EBAY
2020-03,ECL
2020-03,ED
2020-03,EFX
2020-03,EIX
2020-03,EL
2020-03,EMN
2020-03,EMR
2020-03,EOG
2020-03,EQIX
2020-03,EQR
2020-03,ES
2020-03,ESS
2020-03,ETN
2020-03,EW
2020-03,EXPD
2020-03,EXPE
2020-03,EXR
2020-03,F
2020-03,FANG
2020-03,FAST
2020-03,FCX
2020-03,FE
2020-03,FFIV
2020-03,FLIR
2020-03,FLS
2020-03,FLT
2020-03,FMC
2020-03,FOX
2020-03,FRT
2020-03,FTI
2020-03,FTNT
2020-03,FTV
2020-03,GD
2020-03,GE
2020-03,GILD
2020-03,GLW
2020-03,GM
2020-03,GOOG
2020-03,GPC
2020-03,GPS
2020-03,GRMN
2020-03,GWW
2020-03,HAL
2020-03,HAS
2020-03,HBI
2020-03,HCA
2020-03,HD
2020-03,HES
2020-03,HFC
2020-03,HLT
2020-03,HOG
2020-03,HOLX
2020-03,HP
2020-03,HPE
2020-03,HPQ
2020-03,HRB
2020-03,HRL
2020-03,HSIC
2020-03,HST
2020-03,ICE
2020-03,IDXX
2020-03,IEX
2020-03,IFF
2020-03,INCY
2020-03,INFO
2020-03,INTC
2020-03,IP
2020-03,IPG
2020-03,IPGP
2020-03,IQV
2020-03,IR
2020-03,IRM
2020-03,ISRG
2020-03,IT
2020-03,ITW
2020-03,IVZ
2020-03,J
2020-03,JBHT
2020-03,JCI
2020-03,JKHY
2020-03,JNPR
2020-03,JWN
2020-03,K
2020-03,KIM
2020-03,KLAC
2020-03,KMI
2020-03,KMX
2020-03,KO
2020-03,KR
2020-03,KSS
2020-03,KSU
2020-03,LEG
2020-03,LEN
2020-03,LHX
